,country,iso_code,totalCases,totalNewCases,new_cases_per_hundred_thousand_pop,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
1,Afghanistan,AFG,33342,2768,7.110500805,0.152682265,0.120667182,0.192075515,38928341,0.00093,0.00046,0.002
2,Albania,ALB,2926,634,22.03071791,0.397593364,0.251582923,0.614955311,2877800,0.0011,0.00045,0.0029
3,Algeria,DZA,16387,3436,7.835617502,0.606757322,0.450391011,0.779290812,43851043,0.00026,0.00013,0.00058
4,Angola,AGO,257,109,0.331647025,0.267969229,0.152471111,0.486447199,32866268,0.000025,0.0000085,0.000073
5,Argentina,ARG,77771,20071,44.40901636,0.70816058,0.610936675,0.807595124,45195777,0.0013,0.00069,0.0024
6,Armenia,ARM,28607,4291,144.8080037,0.675066257,0.522095345,0.832956208,2963234,0.0043,0.0022,0.0092
7,Australia,AUS,8460,945,3.705899647,0.953986891,0.820031204,0.999999627,25499881,0.000078,0.000046,0.00015
8,Austria,AUT,18224,764,8.482856635,0.90519093,0.650487298,0.999971178,9006400,0.00019,0.00011,0.00043
9,Azerbaijan,AZE,20672,4947,48.79095193,0.881788763,0.749976144,0.994227314,10139175,0.0011,0.00061,0.0022
10,Bahamas,BHS,56,0,0,0.618270883,0.171395476,0.99817278,393248,0,0,0
11,Bahrain,BHR,26900,4554,267.6331393,0.990326216,0.94501688,1,1701583,0.0054,0.0033,0.0094
12,Bangladesh,BGD,165585,31640,19.21192455,0.986160684,0.912451784,0.999999994,164689383,0.00039,0.00024,0.0007
13,Belarus,BLR,63723,2709,28.66872657,0.441271859,0.281152604,0.659638402,9449321,0.0013,0.00054,0.0034
14,Belgium,BEL,62057,849,7.325523123,0.661713674,0.442427869,0.864999833,11589616,0.00022,0.00011,0.00055
15,Benin,BEN,938,75,0.618648644,0.648221358,0.379281203,0.9659073,12123198,0.000019,0.000008,0.000054
16,Bolivia,BOL,40490,9833,84.23691914,0.366660132,0.305587489,0.438899217,11673029,0.0046,0.0024,0.0092
17,Bosnia & Herzegovina,BIH,5427,1350,41.14831223,0.661847391,0.453869093,0.892897949,3280815,0.0012,0.00058,0.003
18,Brazil,BRA,1623271,309617,145.6613948,0.484692102,0.43216772,0.54003269,212559409,0.006,0.0034,0.011
19,Bulgaria,BGR,5822,1289,18.55091319,0.589741484,0.429615109,0.771346746,6948445,0.00063,0.0003,0.0014
20,Burkina Faso,BFA,980,59,0.282252382,0.798890448,0.39505198,0.999857896,20903278,0.0000071,0.0000035,0.000024
21,Cameroon,CMR,13965,1445,5.443409188,0.970231056,0.765961366,1,26545864,0.00011,0.000068,0.00024
22,Canada,CAN,105878,2902,7.6890147,0.450969604,0.347165414,0.57534785,37742157,0.00034,0.00017,0.00074
23,Cape Verde,CPV,766,372,66.90791888,0.8228431,0.537018941,0.999735773,555988,0.0016,0.00084,0.0042
